Body_pos_roll, Body_pos_pitch, Body_pos_yaw, Body_vel_roll, Body_vel_pitch, Body_vel_yaw, Body_pos_x, Body_pos_y, Body_pos_z, Body_vel_x, Body_vel_y, Body_vel_z,Body_pos_roll_ref, Body_pos_pitch_ref, Body_pos_yaw_ref, Body_vel_roll_ref, Body_vel_pitch_ref, Body_vel_yaw_refBody_pos_x_ref, Body_pos_y_ref, Body_pos_z_ref, Body_vel_x_ref, Body_vel_y_ref, Body_vel_z_ref, 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.375000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.000000, -0.000316, -0.000000, 0.000034, 0.000000, 0.374629, -0.000453, -0.151366, -0.000308, 0.016570, 0.000004, -0.125822, 0.000000, 0.000000, 0.000000, 0.001400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.000085, -0.004974, -0.000085, 0.000567, 0.000001, 0.372324, -0.024113, -0.760757, -0.003161, 0.089311, 0.000385, -0.303850, 0.000000, 0.000000, 0.000000, 0.003400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
-0.000273, -0.011621, -0.000273, 0.001388, 0.000004, 0.369146, 0.017013, -0.362187, -0.004044, 0.050501, -0.000336, -0.322001, 0.000000, 0.000000, 0.000000, 0.005400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.000574, -0.012861, 0.000574, 0.001625, -0.000020, 0.365876, 0.150878, -0.051676, -0.010614, 0.017473, -0.005261, -0.330689, 0.000000, 0.000000, 0.000000, 0.007400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.002240, -0.014130, 0.002240, 0.001945, -0.000108, 0.362422, 0.163975, -0.220928, 0.010997, 0.048098, -0.012984, -0.365754, 0.000000, 0.000000, 0.000000, 0.009400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.004038, -0.017210, 0.004038, 0.002562, -0.000290, 0.358568, 0.193212, -0.371901, -0.009158, 0.074572, -0.024062, -0.397171, 0.000000, 0.000000, 0.000000, 0.011400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.005709, -0.020757, 0.005709, 0.003396, -0.000593, 0.354588, 0.130377, -0.304473, -0.007650, 0.088960, -0.036807, -0.398979, 0.000000, 0.000000, 0.000000, 0.013400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.007026, -0.023515, 0.007026, 0.004324, -0.001027, 0.350530, 0.154375, -0.278424, -0.014403, 0.098303, -0.050133, -0.414513, 0.000000, 0.000000, 0.000000, 0.015400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.008669, -0.026468, 0.008669, 0.005392, -0.001598, 0.346301, 0.152054, -0.297940, -0.005764, 0.115250, -0.064092, -0.430373, 0.000000, 0.000000, 0.000000, 0.017400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.010053, -0.029343, 0.010053, 0.006610, -0.002306, 0.341924, 0.138972, -0.286519, 0.001210, 0.127700, -0.077411, -0.445771, 0.000000, 0.000000, 0.000000, 0.019400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.011450, -0.032240, 0.011450, 0.007945, -0.003145, 0.337385, 0.118429, -0.280856, -0.006559, 0.139068, -0.090296, -0.462235, 0.000000, 0.000000, 0.000000, 0.021400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.012314, -0.034830, 0.012314, 0.009387, -0.004104, 0.332683, 0.077723, -0.251843, 0.001181, 0.149063, -0.101213, -0.477953, 0.000000, 0.000000, 0.000000, 0.023400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.013378, -0.037517, 0.013378, 0.010919, -0.005166, 0.327824, 0.121702, -0.277521, 0.000097, 0.156889, -0.110922, -0.493651, 0.000000, 0.000000, 0.000000, 0.025400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.014376, -0.040113, 0.014376, 0.012519, -0.006317, 0.322815, 0.084148, -0.247785, 0.013551, 0.162931, -0.118940, -0.507885, 0.000000, 0.000000, 0.000000, 0.027400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
0.015456, -0.042726, 0.015456, 0.014170, -0.007539, 0.317666, 0.130006, -0.273294, -0.000909, 0.166320, -0.125280, -0.522141, 0.000000, 0.000000, 0.000000, 0.029400, 0.000000, 0.353600, 0.000000, 0.000000, 0.000000, 0.200000, 0.000000, 0.000000 
